"Sex","Length","Diameter","Height","WholeWt","ShuckedWt","VisceraWt","ShellWt","Rings","Class"
"I",77,56,25,48.8,20.4,7.6,17,6,1
"F",100,80,25,133.5,52.2,26.3,44,10,2
"F",116,93,29,197.3,94,43.1,50,11,3
"M",135,105,32,256.7,114.4,55.1,70.9,13,3
"I",116,94,30,181.4,88.8,37.1,48.9,11,3
"M",103,76,35,191.3,65,31.6,62,14,3
"M",106,86,27,175.8,56,43.3,50,10,2
"I",88,68,24,99.9,59.3,18.9,23.7,6,1
"F",124,94,40,245.1,76.2,54,87,23,3
"F",146,110,41,381.6,108.3,71.3,119.3,14,3
"I",79,59,20,54.3,26.8,6.5,17,10,2
"F",113,90,35,247.3,106.1,49.1,61.6,10,2
"M",106,85,31,158.1,61.4,34.2,51.9,9,2
"F",138,110,36,331.8,174.3,53.1,87.9,9,2
"I",95,77,22,114.7,62.2,20.5,27.2,7,1
"F",87,70,25,91.8,39.4,22.9,29,9,2
"I",95,73,24,106,50.1,19.5,32.5,10,2
"M",88,75,26,97.4,45.2,19.3,31,9,2
"M",126,101,34,218.3,92.3,53.2,60,9,2
"M",89,69,28,95.2,41.1,20.3,21.7,15,3
"F",94,72,29,107.4,34.5,27.5,39,15,3
"F",141,109,36,307.9,121.5,73.5,92.9,13,3
"F",125,103,30,248.3,104.7,61.3,72,15,3
"M",96,75,23,135.3,64.1,21.3,34,6,1
"F",87,65,23,78.3,30.8,18.8,24,7,1
"M",136,104,33,295.5,144.8,55.8,81.2,11,3
"M",110,88,27,175.8,73.6,41.9,53,10,2
"F",81,62,24,61.9,27.6,11.6,19,13,3
"F",128,100,35,278.8,98.7,58.2,80,10,2
"M",106,80,25,151.5,79.6,30.2,35,8,1
"M",124,98,30,239,92.1,60.4,71,9,2
"M",124,97,41,243.8,77.5,50.1,77,14,3
"I",68,52,17,37.7,16.3,6.7,12,6,1
"F",114,88,38,203.6,89.4,41.4,53,9,2
"I",90,66,20,82.2,38.9,20,19.6,6,1
"I",89,67,20,97.9,54.9,17.2,22.1,7,1
"F",124,96,34,220.9,107,50,57.4,10,2
"F",130,101,33,232,95.7,54.8,69.8,11,3
"M",139,110,39,332.9,145.4,72,89,11,3
"I",86,68,24,71.5,30.2,12.9,20.9,9,2
"I",110,85,30,127.8,53.8,26.9,43.4,9,2
"M",143,113,35,390.5,152.9,83.7,82.7,10,2
"I",55,43,15,23.1,9.7,5.8,7,7,1
"F",136,112,39,332.8,116,77.1,109,11,3
"M",74,53,15,42.8,18,10.2,14,6,1
"M",89,70,23,72.3,31.3,13.9,23.4,8,1
"I",31,21,10,3.5,1,0.7,1,4,1
"I",94,74,24,94.1,36.9,21.1,31,12,3
"M",146,115,42,413.8,185.7,81.8,128.6,11,3
"I",90,69,27,88.6,39.5,17.5,23.5,14,3
"F",83,61,21,72.1,24,16.4,20,10,2
"F",112,93,32,206.3,86.4,40.5,67.4,9,2
"M",75,58,20,55.2,23.5,11.3,17,9,2
"M",68,53,17,36.7,15.4,9.2,13,10,2
"F",118,92,29,198.1,90.6,44.1,55,8,1
"M",42,30,10,7.7,3.1,1.7,2,3,1
"I",68,51,15,36,14.9,8,10.5,6,1
"M",114,88,35,188.3,76.1,45.7,56.6,9,2
"I",76,54,16,42.1,17.3,8.4,14,8,1
"I",53,39,12,18.4,6.9,5,4.9,6,1
"M",116,93,32,206.9,63,52,72.7,12,3
"F",89,67,28,91.3,35.7,22.8,28,11,3
"M",112,86,31,173.5,80,34.4,45.8,8,1
"M",117,91,25,205.4,78.2,42.4,50,17,3
"M",115,87,26,202.1,73.6,44.4,64,10,2
"M",110,86,26,167.9,63.1,39.1,48.1,10,2
"M",130,97,32,347.9,114.3,55.7,61.5,10,2
"F",100,77,21,99.6,35.9,21.9,34,17,3
"F",131,103,31,261.8,104.8,69.2,77,11,3
"M",105,83,32,128.9,52,31.5,44,12,3
"F",116,92,24,198.7,92.5,47.7,56,11,3
"I",47,35,16,12.9,4.3,3.5,4.3,5,1
"M",129,101,37,292.6,118.4,78.1,83.2,10,2
"I",55,40,13,20.7,9.5,4.1,6,7,1
"I",86,64,20,77.1,38.4,14.9,20,7,1
"M",133,105,36,285.8,134.3,58,80,12,3
"I",55,40,11,18.5,7.6,4.2,5.2,4,1
"F",95,73,26,96.1,38.1,22.8,29.5,12,3
"F",117,90,32,180.9,81,44.3,46.7,8,1
"F",89,65,25,91,35.7,22.5,28,9,2
"F",142,111,34,294,107.5,76,86.2,12,3
"M",79,61,21,56.4,19.5,13,19.2,9,2
"I",130,103,32,232.5,99,40.6,66,17,3
"F",122,98,34,227.4,92.1,56.5,68.8,12,3
"F",106,84,28,125.4,58.1,23.3,36.6,8,1
"F",105,81,32,131.6,53.1,22.5,45,12,3
"M",133,103,38,327.7,166.2,71.5,74.2,11,3
"M",114,96,35,237,94.8,52.2,76,11,3
"F",104,81,29,165.8,70.7,33.7,41,15,3
"M",114,90,27,204,109.2,40.8,50,9,2
"I",58,42,13,19.4,7.5,4.4,6,6,1
"M",117,90,35,225.5,98.5,52.4,67,11,3
"M",110,87,29,168.6,65.6,38.3,51,15,3
"I",110,83,29,156.3,74.6,32,44.3,8,1
"I",94,76,25,96.9,42.2,21.5,28.4,6,1
"I",111,86,31,147.9,62.7,28.7,56,10,2
"I",75,56,17,63.1,37.4,9.2,13.4,7,1
"F",120,95,27,288.1,117.7,38.2,63.5,9,2
"F",108,83,35,179.5,55,48.2,55,14,3
"I",56,43,14,24.8,12.6,4.3,6,6,1
"F",118,95,32,220.3,95.5,51.1,59,13,3
"M",99,78,30,170.6,65.7,37.8,54,14,3
"M",115,90,32,191,88,33.7,54,16,3
"F",113,88,32,183,70.8,38.7,64,12,3
"I",54,41,10,16.8,6,3.7,5.8,6,1
"F",122,99,35,252.7,106,63,69.1,10,2
"I",71,54,20,43.2,16.6,7.4,15,10,2
"F",129,101,33,286.5,136.8,61.6,67.2,8,1
"M",116,90,31,165.5,64.2,39.5,48.9,8,1
"M",88,65,16,82.6,28.8,20.3,26,8,1
"I",99,80,29,115.6,50.9,26.1,32.9,8,1
"M",109,83,28,164,92.3,25.4,43.6,9,2
"F",127,100,36,262.4,105.8,49.7,97,18,3
"M",95,74,25,107.4,44.4,24.3,30,9,2
"M",67,52,15,44,17.1,8,17,6,1
"F",125,101,35,230,109.5,51.2,60.9,11,3
"F",136,110,35,359.6,163,78.5,91,19,3
"M",116,88,35,245.1,108.1,54.1,65.3,10,2
"M",123,101,33,233.4,97.9,59.1,69,10,2
"F",113,89,25,166.1,62.7,35.7,46,11,3
"M",132,107,40,358.2,146.6,63.6,108,15,3
"I",80,63,18,66,30.2,13.6,16,6,1
"M",126,106,35,282.7,133.4,58.9,71.1,13,3
"M",138,108,37,323.9,106.6,70.6,111,24,3
"F",145,116,37,304.6,160.9,71.9,87.5,9,2
"F",113,90,35,201.9,89.4,47.5,52.9,9,2
"F",86,70,18,79.4,31.5,17.8,24,9,2
"M",130,102,31,281.4,144.3,59.6,67,9,2
"F",122,97,36,255.9,114.7,57.1,71,7,1
"F",110,86,30,131,52.7,24.4,44.2,8,1
"M",116,92,30,209.8,104.1,38.7,61,10,2
"I",47,35,8,14.1,6.7,3,4,5,1
"F",132,106,37,269.2,109.2,54.1,95.2,11,3
"I",97,71,21,99.6,43.5,19.2,30.5,9,2
"M",146,119,46,565.1,229.3,83.8,179.4,17,3
"M",98,84,25,121.8,47.8,28.7,44,14,3
"I",104,80,28,124.4,55.6,29.1,33.8,8,1
"F",122,94,29,230.6,80.6,59.2,64,14,3
"M",80,61,26,58.7,19.2,13.5,21,9,2
"I",109,81,26,131.6,65.4,28.9,34.8,8,1
"I",79,62,17,63.4,30.6,10.1,18.7,7,1
"M",113,88,37,181.8,68.8,46.5,51,15,3
"M",85,70,21,78.6,26,12.6,33,9,2
"F",120,94,27,194,93.1,39.1,52.8,11,3
"I",84,64,23,81.8,41.1,18.7,21,8,1
"I",110,88,33,172.1,62.4,33.8,60,17,3
"M",100,78,29,130.2,54.6,26.4,44,11,3
"M",102,76,27,136.2,68.7,28.4,34,9,2
"I",38,26,9,5.3,1.8,1,1.8,5,1
"M",103,78,31,142.5,73.9,27.4,31,7,1
"M",115,87,27,198.4,86.4,44.5,47.8,10,2
"M",93,71,25,105.1,40.5,27,29,13,3
"M",111,90,29,183,80,49.2,57,11,3
"F",95,80,23,108.2,37.2,20.5,42,13,3
"I",91,65,27,164,80.1,34.3,42.2,8,1
"M",101,77,26,128.7,62.7,29.8,30.3,7,1
"F",106,82,26,139.3,60.4,38.7,40,10,2
"M",116,90,30,185.4,55.2,36.3,72,14,3
"F",128,95,28,214.5,97.9,45.9,62,8,1
"M",118,88,27,193.2,87.8,42.9,52.1,10,2
"M",35,25,8,4.8,1.9,1.2,1,4,1
"I",88,70,24,75,28.5,19.3,23,9,2
"F",105,86,25,162.6,66.3,33.2,35.5,12,3
"M",139,110,44,310.3,113.2,76.7,89,13,3
"M",153,120,44,460.4,201.4,101.8,124.1,12,3
"F",120,97,33,228.1,117.4,43.5,57.6,9,2
"M",119,92,34,225.9,114,51.1,53,10,2
"M",76,54,19,43.8,16.7,10.3,14,6,1
"M",124,95,37,265,120.9,65,66,13,3
"M",126,106,36,255.9,123.6,51.2,63,9,2
"M",96,76,26,123.5,60,28.4,35,12,3
"M",119,98,37,237,96.4,40.3,72.2,10,2
"M",102,79,25,116.1,48.8,26.7,37.6,11,3
"I",63,48,14,27.4,10.9,6.3,8,8,1
"M",133,104,35,274.5,121.2,64,79,12,3
"M",103,87,29,176.3,58.4,41.2,51,10,2
"I",72,53,19,46.3,21,9.2,15,7,1
"F",120,92,30,247,120.5,54.8,58,8,1
"I",89,69,26,81.5,27.3,12.9,36,11,3
"M",122,98,32,222.4,93,45.6,68.2,10,2
"F",80,67,23,86.7,42.1,24.1,24,10,2
"F",137,105,35,342,108.3,61.8,116,16,3
"M",130,105,38,299.9,125.3,80.1,79,14,3
"F",118,93,30,230.2,122.6,47.8,50.3,9,2
"M",105,82,26,137.5,68.7,29.9,35.3,9,2
"F",119,97,29,250.3,100.7,58.5,66,14,3
"M",116,92,36,229,96,55.4,65,11,3
"M",106,83,26,168.5,55,38.9,53,20,3
"I",100,73,25,105.6,45.8,20.6,32.9,9,2
"M",40,28,11,7,2.9,1.6,2,5,1
"F",124,93,28,202.2,95.8,47.7,51,8,1
"M",100,80,33,165,50.8,41,57,13,3
"I",99,76,29,103,35,19.6,42.4,13,3
"M",90,67,28,92.5,32.8,15.2,30,14,3
"I",50,37,13,14.2,5.4,3.7,4.5,5,1
"I",64,48,18,31.5,14,5.3,8.5,5,1
"M",100,76,27,116.7,45.9,25.3,36,12,3
"I",95,73,20,26.3,40.5,17.5,24.6,7,1
"F",76,61,19,56.3,25.1,10.5,18,8,1
"F",131,101,39,288.1,137.6,76.1,72.6,11,3
"I",81,61,20,53.6,22.9,10.6,17,7,1
"F",131,105,38,271.9,112.8,64.3,79.7,10,2
"M",152,115,38,365.8,140.7,77.2,112,14,3
"F",129,100,32,249.3,109.5,65.4,60,10,2
"M",112,82,33,186,70.1,47.4,60,13,3
"I",97,75,28,104.2,40,24.6,34,8,1
"M",148,107,37,330,146.8,90.1,67,13,3
"I",99,77,25,102.5,41.5,23.1,34.4,10,2
"M",115,94,30,195.7,90.1,39.2,55.2,9,2
"F",134,105,39,274,121.3,59.1,81.4,12,3
"F",139,106,40,409.5,150,83.9,121.9,14,3
"I",127,100,33,297.8,143,68.9,72.3,13,3
"M",124,100,36,278.3,145.2,55.9,66.4,11,3
"F",129,98,43,281.2,85.3,45.7,102,25,3
"I",86,65,21,61.8,23.8,16,19.6,6,1
"M",103,77,26,124.6,57.1,25.7,35,10,2
"M",142,111,39,389.7,189.1,75.3,99,12,3
"I",110,84,23,133.6,58.5,27.4,41.8,11,3
"I",115,90,25,156,65.5,37.6,47,9,2
"I",72,56,16,35.1,16.2,10.1,14,6,1
"F",128,99,34,245.3,98,75.4,57.5,11,3
"I",110,85,31,174.5,82.4,37.4,48.5,10,2
"I",118,90,25,172,87.4,30.3,49,9,2
"M",129,99,37,298.7,105.3,55.7,91,15,3
"F",118,83,30,176.1,72.9,46.8,47,11,3
"M",116,91,30,202.4,99.7,42.3,56.7,10,2
"F",91,70,28,114.5,39.3,26.5,35,10,2
"F",122,96,38,259.1,104.3,64.5,73,12,3
"I",106,84,24,119.3,51.1,28.2,35.4,7,1
"F",125,100,35,254.6,112.8,60.4,74.8,9,2
"I",78,58,18,52.5,23.4,10.8,15.4,7,1
"I",101,78,30,137,72.4,26.2,31.2,8,1
"M",110,85,32,158.6,68.6,40.7,43,9,2
"I",106,81,26,132.3,58.9,27.9,38,9,2
"F",124,95,32,225.9,92.6,53.7,66,10,2
"M",96,73,24,120.3,62.4,23.4,28,7,1
"I",96,71,23,115.7,50,21.2,36.8,8,1
"M",142,111,35,428,249.1,74.5,86.8,11,3
"M",119,90,29,191.8,92.6,41.3,50.7,10,2
"I",77,58,17,50.1,22.4,12.2,16,8,1
"I",92,70,22,78.9,33.7,17.3,25,9,2
"M",126,94,30,227.1,107.8,46.5,62.3,12,3
"M",103,78,28,135.6,68.2,26.5,23.8,8,1
"I",67,48,19,34,12.4,7.8,11,9,2
"F",137,108,43,340.5,132.8,73.1,94.7,14,3
"M",113,91,31,187.1,84.2,36.6,52,11,3
"F",93,70,26,98.8,38.9,20.6,31,18,3
"I",88,69,24,97.4,39.3,21.6,32,14,3
"F",119,90,33,216.2,98,50.5,55.8,12,3
"M",117,92,29,186.7,95.6,36.5,47,9,2
