"Replicate","Plot","Tree","Species","Height","Dbh"
1,1,1,"Melaleuca",5.6,20.2
1,1,2,"Melaleuca",5.8,20.9
1,1,3,"Melaleuca",4.9,13.2
1,1,4,"Melaleuca",4,14.7
1,1,5,"Melaleuca",5.6,23.4
1,1,6,"Melaleuca",5.3,13.3
1,1,7,"Melaleuca",5.5,18.2
1,1,8,"Melaleuca",6.9,21.2
1,2,1,"Casuarina",4.8,12.9
1,2,2,"Casuarina",4.5,9.6
1,2,3,"Casuarina",4.9,10.1
1,2,4,"Casuarina",6.7,12.7
1,2,5,"Casuarina",7,11.2
1,2,6,"Casuarina",7.7,13.3
1,2,7,"Casuarina",7,11.8
1,2,8,"Casuarina",5.8,10.3
1,3,1,"Petalostigma",3.1,5.8
1,3,2,"Petalostigma",3.6,11.1
1,3,3,"Petalostigma",2,6.4
1,3,4,"Petalostigma",4,8.2
1,3,5,"Petalostigma",3.2,8.9
1,3,6,"Petalostigma",3.2,7
1,3,7,"Petalostigma",3.3,7.3
1,3,8,"Petalostigma",2.1,3
1,4,1,"Angophora",8.8,15.3
1,4,2,"Angophora",7.3,11
1,4,3,"Angophora",8.6,19.3
1,4,4,"Angophora",0.9,4.2
1,4,5,"Angophora",7.8,17.5
1,4,6,"Angophora",6.8,11
1,4,7,"Angophora",7.1,14.8
1,4,8,"Angophora",6.8,14
1,5,1,"Acacia",12.2,23.3
1,5,2,"Acacia",11.9,27.7
1,5,3,"Acacia",11.9,21
1,5,4,"Acacia",11.6,20.4
1,5,5,"Acacia",10.7,20.2
1,5,6,"Acacia",12.2,18.5
1,5,7,"Acacia",11.2,15.2
1,5,8,"Acacia",11.7,13.2
2,1,1,"Melaleuca",3.8,12.7
2,1,2,"Melaleuca",5,19.2
2,1,3,"Melaleuca",4.6,15
2,1,4,"Melaleuca",3.7,22.2
2,1,5,"Melaleuca",4.7,18.1
2,1,6,"Melaleuca",4.6,20.3
2,1,7,"Melaleuca",5.3,14.8
2,1,8,"Melaleuca",3.8,14.1
2,2,1,"Acacia",10.2,12.2
2,2,2,"Acacia",10.4,22.6
2,2,3,"Acacia",0.9,1.7
2,2,4,"Acacia",10.6,25.8
2,2,5,"Acacia",10.6,15.2
2,2,6,"Acacia",10.8,34.3
2,2,7,"Acacia",9.2,16.7
2,2,8,"Acacia",8.6,13.9
2,3,1,"Casuarina",5.5,10.8
2,3,2,"Casuarina",5.1,9.7
2,3,3,"Casuarina",4.1,9.6
2,3,4,"Casuarina",4,9.6
2,3,5,"Casuarina",5.4,14.4
2,3,6,"Casuarina",5.2,11.5
2,3,7,"Casuarina",5.5,13.2
2,3,8,"Casuarina",5,12.2
2,4,1,"Petalostigma",0.7,1
2,4,2,"Petalostigma",3.1,7.7
2,4,3,"Petalostigma",1.9,5.1
2,4,4,"Petalostigma",2.9,5
2,4,5,"Petalostigma",2.4,4.3
2,4,6,"Petalostigma",3.5,6.2
2,4,7,"Petalostigma",1.6,4.3
2,4,8,"Petalostigma",2.3,3.9
2,5,1,"Angophora",8.8,15.4
2,5,2,"Angophora",5.9,12.7
2,5,3,"Angophora",8.5,19.5
2,5,4,"Angophora",4.1,7.5
2,5,5,"Angophora",8.9,15.5
2,5,6,"Angophora",9.1,16.7
2,5,7,"Angophora",5.8,11.6
2,5,8,"Angophora",8.4,17.8
