"Donor","Treatment","MB_buried"
"C1","NT Female",3
"C1","NT Female",8
"C1","NT Female",1
"C1","NT Female",3
"C1","NT Male",2
"C1","NT Male",6
"C1","NT Male",4
"C1","NT Male",2
"C1","NT Female",9
"A24-new","ASD Male",7
"A24-new","ASD Male",5
"A24-new","ASD Female",5
"A24-new","ASD Female",11
"A24-new","ASD Female",13
"A24-new","ASD Female",6
"A24-new","ASD Male",14
"A24-new","ASD Male",9
"A24-new","ASD Female",5
"A24-new","ASD Female",6
"A24-new","ASD Female",8
"A24-new","ASD Female",6
"A24-new","ASD Female",5
"A24-new","ASD Male",13
"A24-new","ASD Female",5
"A24-new","ASD Female",10
"A24-new","ASD Female",12
"C1","NT Female",12
"C1","NT Male",7
"C1","NT Male",1
"C1","NT Male",1
"C1","NT Male",7
"C1","NT Male",0
"A24-new","ASD Female",2
"A24-new","ASD Male",4
"A24-new","ASD Female",17
"A24-new","ASD Female",12
"A24-new","ASD Female",11
"A11-old","ASD Male",12
"A11-old","ASD Male",11
"A11-old","ASD Male",17
"A11-old","ASD Male",13
"A11-old","ASD Male",18
"A11-old","ASD Male",6
"A11-old","ASD Male",15
"A11-old","ASD Male",17
"A11-old","ASD Male",10
"A11-old","ASD Male",5
"A11-old","ASD Male",14
"A11-old","ASD Male",14
"A11-old","ASD Female",4
"A11-old","ASD Female",7
"A11-old","ASD Female",10
"A11-old","ASD Female",11
"A11-old","ASD Female",9
"A11-old","ASD Female",13
"A11-old","ASD Female",6
"A11-old","ASD Female",4
"N5","NT Male",4
"N5","NT Male",6
"N5","NT Male",9
"N5","NT Male",3
"N5","NT Male",7
"N5","NT Male",1
"N5","NT Male",5
"N5","NT Male",2
"N5","NT Female",8
"N5","NT Female",4
"N5","NT Female",2
"N5","NT Female",4
"N5","NT Female",1
"N5","NT Female",5
"N5","NT Female",6
"N5","NT Female",15
"N5","NT Female",2
"N5","NT Female",17
"N5","NT Female",9
"N5","NT Female",4
"C1","NT Male",2
"C1","NT Male",1
"C1","NT Male",7
"C1","NT Male",6
"A3-old","ASD Male",4
"A3-old","ASD Male",7
"A3-old","ASD Male",6
"A3-old","ASD Male",6
"N5","NT Male",2
"N5","NT Male",1
"N5","NT Male",4
"N5","NT Male",1
"A24-new","ASD Male",8
"A24-new","ASD Male",2
"A24-new","ASD Male",7
"A24-new","ASD Male",4
"C1","NT Male",1
"C1","NT Male",11
"C1","NT Male",0
"C1","NT Male",1
"A3-old","ASD Male",11
"A3-old","ASD Male",15
"A3-old","ASD Male",4
"A3-old","ASD Male",7
"N5","NT Male",0
"N5","NT Male",15
"N5","NT Male",1
"N5","NT Male",2
"A24-new","ASD Male",4
"A24-new","ASD Male",5
"A24-new","ASD Male",13
"A24-new","ASD Male",4
"C1","NT Male",2
"C1","NT Male",8
"C1","NT Male",9
"C1","NT Male",4
"C1","NT Female",11
"C1","NT Female",18
"A3-old","ASD Female",10
"A3-old","ASD Female",5
"A3-old","ASD Female",15
"A3-old","ASD Female",18
"A24-new","ASD Female",7
"A24-new","ASD Female",6
"A24-new","ASD Female",17
"A24-new","ASD Female",6
"A24-new","ASD Female",7
"A24-new","ASD Female",12
"A24-new","ASD Female",8
"C1","NT Female",4
"C1","NT Female",5
"C1","NT Female",9
"C1","NT Female",13
"A3-old","ASD Female",3
"A3-old","ASD Female",8
"A3-old","ASD Female",3
"A3-old","ASD Female",5
"N5","NT Female",10
"N5","NT Female",0
"N5","NT Female",19
"N5","NT Female",5
"N5","NT Female",1
"N5","NT Female",4
"N5","NT Female",1
"N5","NT Female",4
"C4","NT Male",4
"C4","NT Male",10
"C4","NT Male",11
"C4","NT Male",13
"A9-old","ASD Male",3
"A9-old","ASD Male",8
"A9-old","ASD Male",9
"A9-old","ASD Male",10
"A17-old","ASD Male",2
"A17-old","ASD Male",11
"A17-old","ASD Male",10
"A17-old","ASD Male",8
"A11-old","ASD Male",6
"A11-old","ASD Male",13
"A11-old","ASD Male",7
"A11-old","ASD Male",5
"C4","NT Male",6
"C4","NT Male",6
"C4","NT Male",2
"C4","NT Male",11
"A9-old","ASD Male",5
"A9-old","ASD Male",0
"A9-old","ASD Male",3
"A9-old","ASD Male",7
"A17-old","ASD Male",15
"A17-old","ASD Male",17
"A17-old","ASD Male",12
"A17-old","ASD Male",10
"A11-old","ASD Male",15
"A11-old","ASD Male",11
"A11-old","ASD Male",4
"A11-old","ASD Male",1
"C4","NT Female",13
"C4","NT Female",15
"C4","NT Female",1
"C4","NT Female",1
"A9-old","ASD Female",15
"A9-old","ASD Female",11
"A9-old","ASD Female",14
"A9-old","ASD Female",17
"A17-old","ASD Female",1
"A17-old","ASD Female",10
"A17-old","ASD Female",12
"A17-old","ASD Female",4
"A11-old","ASD Female",9
"A11-old","ASD Female",5
"A11-old","ASD Female",13
"A11-old","ASD Female",8
"C4","NT Female",7
"C4","NT Female",13
"C4","NT Female",3
"C4","NT Female",13
"A9-old","ASD Female",5
"A9-old","ASD Female",5
"A9-old","ASD Female",5
"A9-old","ASD Female",8
"A17-old","ASD Female",9
"A17-old","ASD Female",5
"A17-old","ASD Female",13
"A17-old","ASD Female",8
"A11-old","ASD Female",14
"A11-old","ASD Female",17
"A11-old","ASD Female",16
"A11-old","ASD Female",5
