CountYear,RoostCountStatusID,TotalCount,SpeciesID,FirstYear,RoostID
2017,Bats were present and counts were carried out,107,Pipistrellus pygmaeus,2017,39
2017,Bats were present and counts were carried out,154,Pipistrellus pygmaeus,2017,39
2017,Bats were present and counts were carried out,122,Rhinolophus hipposideros,1994,349
2017,Bats were present and counts were carried out,124,Rhinolophus hipposideros,1994,349
2017,Bats were present and counts were carried out,431,Rhinolophus hipposideros,1998,644
2017,Bats were present and counts were carried out,294,Rhinolophus hipposideros,1989,1211
2017,Bats were present and counts were carried out,263,Pipistrellus pygmaeus,2006,2208
2017,Bats were present and counts were carried out,96,Pipistrellus pygmaeus,2006,2208
2017,Bats were present and counts were carried out,175,Pipistrellus pygmaeus,2006,2208
2017,Bats were present and counts were carried out,109,Pipistrellus pygmaeus,1999,3865
2017,Bats were present and counts were carried out,24,Pipistrellus pygmaeus,1988,4118
2017,Bats were present and counts were carried out,25,Pipistrellus pygmaeus,1988,4118
2017,Bats were present and counts were carried out,376,Pipistrellus pygmaeus,1988,4118
2017,Bats were present and counts were carried out,290,Rhinolophus hipposideros,1993,4137
2017,Bats were present and counts were carried out,128,Pipistrellus pygmaeus,NA,5762
2017,Bats were present and counts were carried out,181,Pipistrellus pygmaeus,NA,5762
2017,Bats were present and counts were carried out,724,Rhinolophus hipposideros,2003,5769
2017,Bats were present and counts were carried out,758,Rhinolophus hipposideros,2003,5769
2017,Bats were present and counts were carried out,640,Rhinolophus hipposideros,2003,5769
2017,Bats were present and counts were carried out,200,Rhinolophus hipposideros,1995,5912
2017,Bats were present and counts were carried out,219,Rhinolophus hipposideros,1995,5912
2017,Bats were present and counts were carried out,2,Pipistrellus pygmaeus,2008,6210
2017,Bats were present and counts were carried out,1,Pipistrellus pygmaeus,2008,6210
2017,Bats were present and counts were carried out,165,Pipistrellus pygmaeus,1997,6395
2017,Bats were present and counts were carried out,94,Pipistrellus pygmaeus,1997,6395
2017,Bats were present and counts were carried out,98,Rhinolophus hipposideros,NA,6499
2017,Bats were present and counts were carried out,304,Pipistrellus pygmaeus,NA,7003
2017,Bats were present and counts were carried out,106,Pipistrellus pygmaeus,2012,7228
2017,Bats were present and counts were carried out,544,Pipistrellus pygmaeus,NA,7490
2017,Bats were present and counts were carried out,25,Pipistrellus pygmaeus,NA,7895
2017,Bats were present and counts were carried out,14,Pipistrellus pygmaeus,NA,7895
2017,Bats were present and counts were carried out,22,Rhinolophus hipposideros,1997,8423
2017,Bats were present and counts were carried out,13,Rhinolophus hipposideros,1997,8423
2017,Bats were present and counts were carried out,16,Rhinolophus hipposideros,1997,8423
2017,Bats were present and counts were carried out,40,Rhinolophus hipposideros,1990,8676
2017,Bats were present and counts were carried out,19,Rhinolophus hipposideros,1990,8676
2017,Bats were present and counts were carried out,178,Rhinolophus hipposideros,1993,9056
2017,Bats were present and counts were carried out,127,Rhinolophus hipposideros,1993,9056
2017,Bats were present and counts were carried out,7,Rhinolophus hipposideros,1994,9344
2017,Bats were present and counts were carried out,89,Rhinolophus hipposideros,2010,9875
2017,Bats were present and counts were carried out,124,Rhinolophus hipposideros,2010,9875
2017,Bats were present and counts were carried out,102,Rhinolophus hipposideros,2003,9923
2017,Bats were present and counts were carried out,122,Rhinolophus hipposideros,2003,9923
2017,Bats were present and counts were carried out,46,Rhinolophus hipposideros,2003,9923
2017,Bats were present and counts were carried out,41,Rhinolophus hipposideros,NA,12225
2017,Bats were present and counts were carried out,18,Rhinolophus hipposideros,1994,12788
2017,Bats were present and counts were carried out,1,Rhinolophus hipposideros,1994,12788
2017,Bats were present and counts were carried out,75,Rhinolophus hipposideros,NA,13058
2017,Bats were present and counts were carried out,34,Rhinolophus hipposideros,NA,13058
2017,Bats were present and counts were carried out,69,Rhinolophus hipposideros,NA,13058
2017,Bats were present and counts were carried out,331,Rhinolophus hipposideros,1995,13382
2017,Bats were present and counts were carried out,349,Rhinolophus hipposideros,1995,13382
