OliveFarm;Management;Complexity;Bubulcus_ibis;Burhinus_oedicnemus;Buteo_buteo;Accipiter_nisus;Athene_noctua;Coracias_garrulus;Merops_apiaster;Picus_viridis;Dendrocopos_major;Upupa_epops;Apus_apus;Tachymarptis_melba;Falco_naumanni;Falco_tinnunculus;Cyanopica_cyanus;Corvus_corone;Corvus_corax;Corvus_monedula;Pica_pica;Garrulus_glandarius;Lanius_senator;Lanius_excubitor;Oriolus_oriolus;Phylloscopus_bonelli;Phylloscopus_trochilus;Phylloscopus_collybita;Cettia_cetti;Aegithalos_caudatus;Hirundo_rustica;Hirundo_rupestris;Hirundo_daurica;Delichon_urbicum;Acrocephalus_scirpaceus;Hippolais_polyglotta;Sylvia_hortensis;Sylvia_undata;Sylvia_communis;Sylvia_cantillans;Sylvia_melanocephala;Sylvia_borin;Sylvia_atricapilla;Cisticola_juncidis;Calandrella_brachydactyla;Alauda_arvensis;Galerida_theklae;Galerida_cristata;Lullula_arborea;Melanocorypha_calandra;Parus_major;Parus_cristatus;Parus_caeruleus;Regulus_ignicapilla;Sturnus_unicolor;Sturnus_vulgaris;Turdus_philomelos;Turdus_viscivorus;Turdus_merula;Turdus_iliacus;Luscinia_megarhynchos;Ficedula_hypoleuca;Saxicola_torquatus;Monticola_solitarius;Phoenicurus_ochruros;Phoenicurus_phoenicurus;Erithacus_rubecula;Muscicapa_striata;Erythropygia_galactotes;Certhia_brachydactyla;Troglodytes_troglodytes;Coccothraustes_coccothraustes;Serinus_serinus;Carduelis_cannabina;Loxia_curvirostra;Carduelis_carduelis;Carduelis_chloris;Fringilla_coelebs;Miliaria_calandra;Emberiza_cirlus;Emberiza_cia;Anthus_pratensis;Motacilla_cinerea;Motacilla_alba;Passer_montanus;Passer_domesticus;Passer_hispaniolensis;Petronia_petronia;Cuculus_canorus;Streptopelia_turtur;Streptopelia_decaocto;Columba_livia;Columba_palumbus;Coturnix_coturnix;Alectoris_rufa
MORALEDAEXP;intensive;Intermediate;1;4;0;1;0;0;2;0;0;7;2;0;0;0;15;0;0;123;50;0;0;0;1;0;4;14;2;2;22;0;0;1;0;2;0;0;0;0;73;0;85;5;0;5;0;42;1;0;26;0;2;0;84;11;44;5;21;0;1;2;0;0;0;1;50;0;0;0;0;0;66;24;0;146;70;186;1;0;0;7;0;57;0;3;1;0;0;0;9;12;106;0;5
MORALEDACON;extensive;Intermediate;0;10;0;0;5;0;0;1;0;26;11;0;0;1;29;0;0;101;45;0;1;0;1;0;3;21;0;0;36;0;0;0;0;3;0;0;0;0;88;0;74;5;2;2;0;76;1;0;12;0;0;0;94;0;77;2;29;1;0;0;1;0;4;3;47;0;0;0;0;0;126;67;0;166;74;166;6;0;0;8;1;58;4;8;0;0;0;1;17;4;337;0;4
OJUELOSEXP;intensive;Intermediate;28;2;21;0;6;0;21;3;0;20;40;0;13;2;0;1;44;17;0;0;0;0;0;0;0;31;0;0;13;0;8;3;1;1;0;0;0;0;62;0;69;14;8;35;0;137;0;53;38;0;0;0;524;0;102;0;5;0;0;6;5;0;17;0;59;0;0;0;0;0;122;47;0;168;18;32;9;0;0;16;0;69;0;227;77;0;0;14;59;49;5;0;47
OJUELOSCON;extensive;Intermediate;50;6;14;2;3;0;10;0;0;22;21;1;1;4;0;2;47;0;0;0;1;0;0;4;1;52;0;0;15;0;0;4;3;1;5;0;0;2;56;1;40;9;26;45;0;107;3;20;46;0;2;0;252;0;101;0;12;0;0;4;2;0;6;0;55;0;0;0;0;0;239;64;0;415;37;24;11;0;0;20;0;73;2;138;22;0;0;18;10;42;4;3;96
LUNAEXP;extensive;High;0;0;0;0;0;0;21;2;0;26;7;0;0;0;99;0;1;0;10;0;4;1;0;0;0;10;0;16;58;3;5;10;0;0;0;1;0;0;148;0;141;0;0;1;14;14;38;0;161;8;64;2;1353;0;87;6;103;0;14;4;0;0;10;6;126;0;0;107;5;5;87;43;4;256;38;174;16;10;0;36;0;3;0;120;0;0;0;2;1;97;109;0;4
LUNACON;intensive;High;0;0;0;0;0;0;3;0;1;27;6;0;0;0;141;0;3;0;31;0;2;0;2;0;0;21;0;1;28;0;5;13;0;2;0;0;0;0;140;0;85;0;0;0;21;14;32;0;139;6;50;0;380;0;64;0;77;0;0;1;0;0;15;3;109;1;0;85;1;2;89;92;0;155;16;268;20;25;0;6;0;0;0;249;0;0;0;1;3;57;114;0;22
OLIVILLAEXP;extensive;Intermediate;0;0;0;0;0;0;4;0;0;10;43;7;0;0;0;0;1;0;0;0;1;2;1;0;0;9;0;0;2;4;19;15;0;4;1;1;0;0;88;0;22;0;0;0;40;25;0;0;11;0;0;0;1;0;90;6;26;0;0;0;5;2;17;0;28;0;0;0;0;0;123;74;6;128;25;197;4;5;0;6;0;9;0;6;0;0;1;5;2;13;0;0;8
OLIVILLACON;intensive;Intermediate;0;1;0;0;0;0;11;0;2;14;19;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;9;0;10;24;0;0;0;0;0;0;86;0;15;0;0;0;12;9;0;0;6;0;1;0;19;0;38;0;17;0;1;0;0;0;9;0;24;0;0;0;0;0;132;126;0;202;41;144;0;2;1;4;1;28;0;20;0;0;1;1;11;15;2;0;0
GALLOEXP;intensive;High;0;0;2;1;5;0;5;2;0;1;44;3;0;2;0;0;3;0;0;0;0;0;0;0;0;14;0;0;34;2;9;1;0;6;1;0;0;0;99;4;65;7;0;0;9;37;1;0;30;0;3;0;22;0;22;0;17;0;3;1;2;0;10;0;42;0;0;0;0;0;103;125;0;128;108;43;9;14;0;1;0;17;0;158;61;0;5;5;20;62;7;0;12
GALLOCON;extensive;High;0;0;0;0;4;0;6;4;0;4;10;30;2;0;0;0;1;10;0;0;0;0;1;0;3;12;0;0;7;6;0;1;0;3;0;0;0;0;141;1;90;5;0;2;6;29;0;0;43;0;11;1;31;0;81;0;15;0;9;3;3;0;2;2;50;0;0;0;0;0;60;122;0;136;86;100;11;6;0;1;0;8;0;12;74;0;4;2;9;0;5;0;15
