name,year_born,height_m,net_worth_usd
Denzel Washington ,1954,1.85,280
Leonardo DiCaprio ,1974,1.83,260
Natalie Portman ,1981,1.6,90
Mila Kunis ,1983,1.63,75
Scarlett Johansson ,1984,1.6,165
Samuel L. Jackson ,1948,1.89,250
Jennifer Lopez ,1969,1.64,400
Johnny Depp ,1963,1.78,75
Jim Carrey ,1962,1.88,180
George Clooney ,1961,1.8,500
Angelina Jolie ,1975,1.69,120
Zendaya Coleman,1996,1.79,15
Jennifer Aniston ,1969,1.64,300
Emma Watson ,1990,1.65,85
Keanu Reeves ,1964,1.86,380
Robert Downey Jr ,1965,1.73,300
Kate Winslet ,1975,1.69,65
Will Smith ,1968,1.88,350
Viola Davis ,1965,1.65,25
Halle Berry ,1966,1.65,90
Benedict Cumberbatch,1976,1.83,40
Brad Pitt ,1963,1.8,300
Sigourney Weaver ,1949,1.82,60
