Filename,ID,Series name,MeanF,Max of F,Min of F,FRange,StdDevF,Duration(T),Sum of Abrupt(>0.025),Sum of Abrupt(>0.05),Sum of Abrupt(>0.1),Cofm,CofFV,PosMax,PosMin
151219-001_Baramati1_A1,BMT.A,A1,0.339789305,0.365306102,0.304176531,0.025516797,0.013803032,6.625741242,0,0,0,0.872929846,4.062232556,0.632599471,0.035455661
151219-001_Baramati1_A2,BMT.A,A2,0.421033642,0.548994461,0.300861175,0.127960818,0.067888154,7.184590348,4,0,0,1.539686019,16.12416372,0.534210157,0
151219-001_BaramatiX_A4,BMT.A,A4,0.44693789,0.579275133,0.294636815,0.132337243,0.092957112,6.440500461,9,0,0,2.243065475,20.79866447,0.482311034,0
151219-001_BaramatiX_A5,BMT.A,A5,0.422727601,0.529648476,0.30952381,0.106920875,0.054476547,6.038030609,3,0,0,1.708067448,12.88691515,0.611760354,0.827443734
151220-002_Baramati18_A1,BMT.SA1,A1,0.411204847,0.468351143,0.349226137,0.057146295,0.02649691,11.25373303,2,0,0,1.625679101,6.44372504,0.404690619,0
151220-002_Baramati18_A2,BMT.SA1,A2,0.415157128,0.461904762,0.356375741,0.046747634,0.023919688,11.15255436,0,0,0,0.85317331,5.761598882,0.399348928,0
151220-002_Baramati18_A3,BMT.SA1,A3,0.452680105,0.517452094,0.345441053,0.064771988,0.037580487,7.96943659,0,0,0,1.242870324,8.301775783,0.256435163,0.032054395
151220-002_Baramati18_B1,BMT.SA1,B1,0.400048805,0.443930675,0.324232959,0.04388187,0.028460065,5.115797774,0,0,0,0.896859399,7.114148176,0.780097087,0.020873786
151220-002_Baramati18_C1,BMT.SA1,C1,0.400433176,0.443336936,0.328448504,0.042903761,0.027821824,5.103380789,0,0,0,1.021387258,6.947931716,0.733819951,0.021411192
151220-002_Baramati17_A1,BMT.SA2,A1,0.405876487,0.53343356,0.334769219,0.127557073,0.04903153,9.872316087,2,0,0,1.637041198,12.08040652,0.604316547,0.021068859
151220-002_Baramati17_A2,BMT.SA2,A2,0.462879669,0.534274689,0.326051009,0.071395021,0.05676105,6.53873527,2,0,0,1.261323883,12.26259302,0.300741769,0.977755607
151220-002_Baramati18_E1,BMT.SA2,E1,0.422851836,0.514544297,0.341952507,0.091692461,0.056032594,5.460877126,2,0,0,1.879425056,13.25111759,0.67785631,1.143794356
151220-002_Baramati18_E3,BMT.SA2,E3,0.409149222,0.468666566,0.289085358,0.059517345,0.043026939,6.339339623,1,0,0,0.971095938,10.51619718,0.650933099,0
151220-002_Baramati18_E2,Can't Confirm,E2,0.456764016,0.538059773,0.337240038,0.081295758,0.062070017,5.261817752,2,1,0,1.388957069,13.58907774,0.242986525,0.88248288
151106-002_CG1_A1,CG1.A1,A1,0.32684827,0.378984157,0.213668235,0.052135887,0.034298157,8.944817768,1,0,0,1.453528219,10.49360219,0.635622788,0
151106-002_CG1_A2,CG1.A1,A2,0.362128904,0.393401295,0.251162791,0.031272391,0.038283546,7.826660481,0,0,0,0.6654711,10.57180063,1.342214239,0.08366186
151106-002_CG1_A3,CG1.A1,A3,0.356565066,0.387294743,0.182308614,0.030729677,0.047580754,6.207081545,1,0,0,1.15370064,13.34419953,0.573336006,0
151108-001_CG1_A2.,CG1.A1,A2.,0.371597059,0.418619344,0.211280853,0.047022286,0.048214068,6.261426322,0,0,0,1.042222617,12.97482488,5.337343358,0
151108-001_CG1_A3,CG1.A1,A3,0.367476943,0.415285271,0.175263158,0.047808328,0.048968293,6.026061557,3,0,0,0.906491799,13.32554156,1.236984577,0
151108-001_CG1_A3.,CG1.A1,A3.,0.359070099,0.407496926,0.17828906,0.048426827,0.048729619,5.918983543,2,0,0,1.068577237,13.57106023,1.275582573,0
