"Code","Location","burned_area","Sex","Age","SVL","Mass","Habitat","order_treatment","fire_experience","treatment","post_activity_s","pre_activity_s"
"ALB1","Albufera",95,"M","AD",5.9,5.2,"LOFI",2,NA,"Control",0,0
"ALB1","Albufera",95,"M","AD",5.9,5.2,"LOFI",1,NA,"Smoke",8,0
"ANA10","Artana",2023,"M","AD",6.7,7.75,"HIFI",2,"NO","Control",0,11
"ANA10","Artana",2023,"M","AD",6.7,7.75,"HIFI",1,"NO","Smoke",49,0
"ANA11","Artana",2023,"M","AD",6.4,6.75,"HIFI",1,"NO","Control",0,0
"ANA11","Artana",2023,"M","AD",6.4,6.75,"HIFI",2,"NO","Smoke",39,18
"ANA12","Artana",2023,"F","AD",6.4,5.75,"HIFI",1,"NO","Control",0,5
"ANA12","Artana",2023,"F","AD",6.4,5.75,"HIFI",2,"NO","Smoke",27,0
"ANA15","Artana",2023,"F","AD",5.5,6.09,"HIFI",2,"NO","Control",0,0
"ANA15","Artana",2023,"F","AD",5.5,6.09,"HIFI",1,"NO","Smoke",10,0
"ANA16","Artana",2023,"M","JUV",4.8,2.27,"HIFI",2,"NO","Control",0,0
"ANA16","Artana",2023,"M","JUV",4.8,2.27,"HIFI",1,"NO","Smoke",0,20
"ANA17","Artana",2023,"M","AD",5.6,6.53,"HIFI",2,"NO","Control",0,0
"ANA17","Artana",2023,"M","AD",5.6,6.53,"HIFI",1,"NO","Smoke",49,5
"ANA18","Artana",2023,"M","AD",6.1,6.11,"HIFI",2,"NO","Control",0,34
"ANA18","Artana",2023,"M","AD",6.1,6.11,"HIFI",1,"NO","Smoke",0,0
"ANA2","Artana",2023,"M","JUV",4.2,2.3,"HIFI",1,"NO","Control",0,0
"ANA2","Artana",2023,"M","JUV",4.2,2.3,"HIFI",2,"NO","Smoke",19,44
"ANA20","Artana",2023,"M","AD",5.1,3.36,"HIFI",2,"NO","Control",5,52
"ANA20","Artana",2023,"M","AD",5.1,3.36,"HIFI",1,"NO","Smoke",32,56
"ANA5","Artana",2023,"F","AD",6.8,7.13,"HIFI",1,"NO","Control",0,27
"ANA5","Artana",2023,"F","AD",6.8,7.13,"HIFI",2,"NO","Smoke",7,48
"ART1","Artana",2023,"F","JUV",4.7,2.5,"HIFI",1,"YES","Control",0,0
"ART1","Artana",2023,"F","JUV",4.7,2.5,"HIFI",2,"YES","Smoke",26,NA
"ART10","Artana",2023,"F","AD",6,5.12,"HIFI",2,"YES","Control",41,0
"ART10","Artana",2023,"F","AD",6,5.12,"HIFI",1,"YES","Smoke",47,5
"ART11","Artana",2023,"F","AD",5.9,5.71,"HIFI",2,"YES","Control",0,0
"ART11","Artana",2023,"F","AD",5.9,5.71,"HIFI",1,"YES","Smoke",12,0
"ART12","Artana",2023,"M","AD",7,8.25,"HIFI",2,"YES","Control",0,0
"ART12","Artana",2023,"M","AD",7,8.25,"HIFI",1,"YES","Smoke",49,0
"ART2","Artana",2023,"F","AD",5.3,4,"HIFI",1,"YES","Control",9,0
"ART2","Artana",2023,"F","AD",5.3,4,"HIFI",2,"YES","Smoke",17,0
"ART3","Artana",2023,"M","AD",6.7,7.9,"HIFI",2,"YES","Control",23,0
"ART3","Artana",2023,"M","AD",6.7,7.9,"HIFI",1,"YES","Smoke",52,0
"ART4","Artana",2023,"M","JUV",4.2,2,"HIFI",1,"YES","Control",0,58
