"size","survived"
42,0
36,0
51,1
33,0
33,1
45,1
54,1
48,0
39,0
48,1
36,0
42,1
45,1
39,0
42,1
39,0
39,0
36,0
48,1
33,0
45,1
45,0
36,1
36,0
36,0
36,0
36,0
45,0
30,0
48,0
30,0
39,1
33,0
42,1
48,0
39,1
42,0
42,0
45,0
42,1
42,1
48,1
39,1
30,0
39,0
54,1
45,1
42,1
30,0
51,1
36,0
39,1
42,0
45,1
36,1
30,0
39,0
30,0
30,1
42,1
36,0
45,0
42,1
36,1
33,1
39,0
48,1
27,0
33,1
51,1
30,0
33,0
51,1
42,1
42,0
45,1
54,1
42,1
48,1
42,0
48,1
42,0
33,0
51,1
39,0
48,1
42,0
36,0
39,1
36,0
33,0
45,0
30,0
42,1
36,0
45,1
33,0
33,0
36,1
45,1
51,1
39,0
51,1
39,1
27,0
39,1
36,1
42,0
42,1
39,0
54,1
39,1
42,0
48,1
39,1
48,1
48,0
33,0
45,1
33,0
45,1
45,1
27,0
33,0
54,1
39,1
30,0
27,0
39,1
33,0
36,0
42,1
36,1
48,1
36,0
33,0
51,0
33,0
57,1
45,1
27,0
48,1
48,1
33,0
54,1
33,0
45,1
36,1
42,1
42,1
33,0
42,0
42,0
42,1
48,0
33,0
42,1
39,1
33,0
