class,order,family,genus,species,common_name,adult_body_mass_g,maximum_longevity_y,gestation_d
Mammalia,Afrosoricida,Chrysochloridae,Chrysospalax,trevelyani,Giant Golden Mole,434.04,4,115
Mammalia,Afrosoricida,Tenrecidae,Echinops,telfairi,Lesser Hedgehog Tenrec,166.125,19,57.8284
Mammalia,Afrosoricida,Tenrecidae,Geogale,aurita,Large-eared Tenrec,6.7,2.083333333,60.16908
Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,nigriceps,Highland Streaked Tenrec,124.7,2.741666667,54.48044
Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,Lowland Streaked Tenrec,133,2.741666667,53.77522
Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,Dobson's Shrew Tenrec,37.8,5.6,61.64
Mammalia,Afrosoricida,Tenrecidae,Microgale,talazaci,Talazac's Shrew Tenrec,46.05,5.833333333,61
Mammalia,Afrosoricida,Tenrecidae,Setifer,setosus,Greater Hedgehog Tenrec,304.11,14.1,57.52404
Mammalia,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,Tail-less Tenrec,885.795,8.7,60.24
Mammalia,Artiodactyla,Antilocapridae,Antilocapra,americana,Pronghorn,45375,15.5,247.44468
Mammalia,Artiodactyla,Bovidae,Addax,nasomaculatus,Addax,94288.68,28.2,276
Mammalia,Artiodactyla,Bovidae,Aepyceros,melampus,Impala,52500,25.6,196.74
Mammalia,Artiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest,159000,22.5,242.66
Mammalia,Artiodactyla,Bovidae,Alcelaphus,caama,Red Hartebeest,159968.93,22.5,242.66
Mammalia,Artiodactyla,Bovidae,Alcelaphus,lichtensteinii,Lichtenstein's Hartebeest,160847.83,2.908333333,236.59168
Mammalia,Artiodactyla,Bovidae,Ammodorcas,clarkei,Dibatag,28274.905,3,203.4824
Mammalia,Artiodactyla,Bovidae,Ammotragus,lervia,Barbary Sheep,92500,21.7,151.80744
Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,33571.24,20,169.49
Mammalia,Artiodactyla,Bovidae,Antilope,cervicapra,Blackbuck,37500,23.9,167.699
Mammalia,Artiodactyla,Bovidae,Beatragus,hunteri,Hunter's Hartebeest,119000,23.6,238
Mammalia,Artiodactyla,Bovidae,Bison,bison,American Bison,624577.07,33.5,274
Mammalia,Artiodactyla,Bovidae,Bison,bonasus,European Bison,624577.07,33.5,274
Mammalia,Artiodactyla,Bovidae,Bos,frontalis,Gaur,812571.525,26.2,274.76636
Mammalia,Artiodactyla,Bovidae,Bos,grunniens,Yak,583500,26.3,272.01084
Mammalia,Artiodactyla,Bovidae,Bos,javanicus,Banteng,683333.335,27.1,295.89
Mammalia,Artiodactyla,Bovidae,Bos,sauveli,Kouprey,795660.88,20,260
Mammalia,Artiodactyla,Bovidae,Bos,taurus,Aurochs,618642.42,20,277
Mammalia,Artiodactyla,Bovidae,Boselaphus,tragocamelus,Nilgai,180000,21.7,255
Mammalia,Artiodactyla,Bovidae,Bubalus,bubalis,Water Buffalo,827250.485,34.9,314.83246
Mammalia,Artiodactyla,Bovidae,Bubalus,depressicornis,Anoa,205994.635,36.1,300
Mammalia,Artiodactyla,Bovidae,Bubalus,mindorensis,Tamarau,243861.535,28,302.9273
Mammalia,Artiodactyla,Bovidae,Bubalus,quarlesi,Mountain Anoa,165859.43,29.2,294.99
Mammalia,Artiodactyla,Bovidae,Budorcas,taxicolor,Takin,294515.33,21.9,235.6
Mammalia,Artiodactyla,Bovidae,Capra,caucasica,Tur,69546.83,22.3,164.25322
Mammalia,Artiodactyla,Bovidae,Capra,falconeri,Markhor,41000,19.1,163.06848
Mammalia,Artiodactyla,Bovidae,Capra,hircus,Goat,60500,20.8,155.5
Mammalia,Artiodactyla,Bovidae,Capra,ibex,Alpine Ibex,77000,22.3,169
Mammalia,Artiodactyla,Bovidae,Capra,nubiana,Nubian Ibex,70523.415,22.3,169
Mammalia,Artiodactyla,Bovidae,Capra,pyrenaica,Spanish Ibex,60898.77,16,150
Mammalia,Artiodactyla,Bovidae,Capra,sibirica,Siberian Ibex,82500,22.3,170.45
Mammalia,Artiodactyla,Bovidae,Capra,walie,Walia,80000,22.3,167.5
Mammalia,Artiodactyla,Bovidae,Capricornis,crispus,Japanese Serow,43030.64,24,215
Mammalia,Artiodactyla,Bovidae,Capricornis,milneedwardsii,Chinese Serow,95000,21,228.27
Mammalia,Artiodactyla,Bovidae,Capricornis,rubidus,Red Serow,95000,21,228.27
Mammalia,Artiodactyla,Bovidae,Capricornis,sumatraensis,Sumatran Serow,95000,21,228.27
Mammalia,Artiodactyla,Bovidae,Capricornis,swinhoei,Formosan Serow,43030.64,24,215
Mammalia,Artiodactyla,Bovidae,Capricornis,thar,Himalayan Serow,95000,21,228.27
Mammalia,Artiodactyla,Bovidae,Cephalophus,adersi,Aders' Duiker,10000,15.2,166.485
Mammalia,Artiodactyla,Bovidae,Cephalophus,dorsalis,Bay Duier,11600,17.5,236
Mammalia,Artiodactyla,Bovidae,Cephalophus,natalensis,Red Duiker,10000,15.2,212.97
Mammalia,Artiodactyla,Bovidae,Cephalophus,niger,Black Duiker,18100,14.8,127.8312
Mammalia,Artiodactyla,Bovidae,Cephalophus,rufilatus,Red-flanked Duiker,12500,15.2,233.99
Mammalia,Artiodactyla,Bovidae,Cephalophus,silvicultor,Yellow-backed Duiker,62006.6,22.5,165.26748
Mammalia,Artiodactyla,Bovidae,Cephalophus,weynsi,Weyns's Duiker,10000,15.25,212.97
Mammalia,Artiodactyla,Bovidae,Cephalophus,zebra,Zebra Duiker,15654.75,12.17,225.62346
Mammalia,Artiodactyla,Bovidae,Connochaetes,gnou,Black Wildebeest,132250,21.8,258.723
Mammalia,Artiodactyla,Bovidae,Connochaetes,taurinus,Blue Wildebeest,180500,24.7,253
Mammalia,Artiodactyla,Bovidae,Damaliscus,korrigum,Topi,118597.435,23.6,238
Mammalia,Artiodactyla,Bovidae,Damaliscus,lunatus,Common Tsessebe,119000,23.6,238
Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,Bontebok (see comments,84500,23.875,243
Mammalia,Artiodactyla,Bovidae,Eudorcas,rufifrons,Red-fronted Gazelle,25000,20,172.365
Mammalia,Artiodactyla,Bovidae,Eudorcas,rufina,Red Gazelle,27000,14.5,175.0035
Mammalia,Artiodactyla,Bovidae,Eudorcas,thomsonii,Thomson's Gazelle,23197.67,20,170.74596
Mammalia,Artiodactyla,Bovidae,Gazella,arabica,Arabian Gazelle,24124.67,20.8,169.43796
Mammalia,Artiodactyla,Bovidae,Gazella,bennettii,Indian Gazelle,22278.415,23.7,172
Mammalia,Artiodactyla,Bovidae,Gazella,cuvieri,Cuvier's Gazelle,20348.835,17.9,170.87298
Mammalia,Artiodactyla,Bovidae,Gazella,dorcas,Dorcas Gazelle,47386.47,23.7,156
Mammalia,Artiodactyla,Bovidae,Gazella,gazella,Mountain Gazelle,35318.235,20.8,169.43796
Mammalia,Artiodactyla,Bovidae,Gazella,leptoceros,Slender-horned Gazelle,24645.75,14.6,167.29
Mammalia,Artiodactyla,Bovidae,Gazella,saudiya,Saudi Gazelle,32185.735,23.7,156
Mammalia,Artiodactyla,Bovidae,Gazella,spekei,Speke's Gazelle,20000,14.80833333,187.90764
