common_name,litter_or_clutch_size_n,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d
Aardvark,1,56175.2,29.8,200-299,100-199
Aardwolf,3,8119.695,25.0,50-99,100-199
Abert's Squirrel,3,624,7.0,0-49,0-99
Aceh Rat,6+,142.68,4.2,0-49,0-99
Addax,1,94288.68,28.2,200-299,100-199
African Arvicanthis,5,95.8,6.7,0-49,0-99
African Civet,2,13666.67,28.0,50-99,100-199
African Golden Cat,2,10650,21.0,50-99,100-199
Agile Antechinus,6+,26.25,5.4,0-49,0-99
Allen's Cotton Rat,5,159.6,5.2,0-49,0-99
Alpine Chamois,1,35383.175,22.0,100-199,0-99
Alpine Field Mouse,6+,29.375,4.5,0-49,0-99
Amazon River Dolphin,1,98500,31.3,200-299,300-399
American Marten,3,892,19.0,0-49,0-99
Amur Hedgehog,4,774.475,14.0,0-49,0-99
Anhui Musk Deer,2,12488.705,13.9,100-199,0-99
Apennine Shrew,6+,8.2,3.2,0-49,0-99
Arabian Gazelle,2,24124.67,20.8,100-199,100-199
Arizona Cotton Rat,5,172.3,5.2,0-49,0-99
Australasian Fur Seal,1,67979.43,30.6,200-299,300-399
Australian Bush Rat,5,127.29,5.3,0-49,0-99
Australian Swamp Rat,5,112,4.4,0-49,0-99
Barbary Sheep,1,92500,21.7,100-199,100-199
Barren Ground Shrew,6+,5.1,2.5,0-49,0-99
Bawean Deer,1,43000,22.9,200-299,100-199
Big Hairy Armadillo,2,4372.8,25.2,50-99,0-99
Bighorn Sheep,1,69125,24.0,100-199,100-199
Blaaubok,1,225000,25.9,200-299,100-199
Black Wildebeest,1,132250,21.8,200-299,200-299
Blackbuck,1,37500,23.9,100-199,0-99
Black-footed Ferret,3,907.1,12.0,0-49,0-99
Black-footed Gray Langur,1,12236.395,29.3,100-199,300-399
Black-shanked Douc Langur,1,10104.16,26.8,100-199,300-399
Black-tailed Prairie Dog,4,1125,18.0,0-49,0-99
Blue Wildebeest,1,180500,24.7,200-299,200-299
Bobcat,3,9400,32.3,50-99,0-99
Bonobo,1,35119.95,55.0,200-299,400+
Bontebok (see comments,1,84500,23.9,200-299,100-199
Bornean Orangutan,1,58941.645,60.0,200-299,400+
Bottlenose Dolphin,1,230000,53.0,300-399,400+
Brandt's Hamster,6+,108.2,10.0,0-49,0-99
Brown Antechinus,6+,27.85,5.4,0-49,0-99
Brown Fur Seal,1,127551,32.1,300-399,300-399
Bush Duiker,1,18500,15.4,100-199,100-199
Bushy-tailed Woodrat,4,285.89,5.8,0-49,0-99
Calamian Deer,1,39812.6,22.9,200-299,100-199
California Sealion,1,158597.43,35.7,300-399,300-399
California Vole,5,53.5,2.1,0-49,0-99
Camas Pocket Gopher,5,105.07,6.0,0-49,0-99
Canadian Lynx,3,9682.82,26.8,50-99,100-199
Cape Genet,3,1760,21.3,50-99,0-99
Cape Mole-rat,6+,189.68,11.2,0-49,0-99
Cape Porcupine,2,14936.02,23.1,50-99,0-99
Cascade Golden-mantled Ground Squirrel,5,250.9,10.4,0-49,0-99
Caucasian Pygmy Shrew,6+,4.2,2.0,0-49,0-99
Caucasian Shrew,6+,8.195,3.2,0-49,0-99
Caucasus Field Mouse,6+,29.375,4.5,0-49,0-99
Central American Red Brocket,1,23000,17.1,200-299,100-199
Chacma Baboon,1,17729.44,45.0,100-199,300-399
Chacoan Peccary,2,35433.2,14.6,100-199,0-99
Chevrier's Field Mouse,6+,21.2,4.0,0-49,0-99
Chinese Goral,1,27666.67,20.3,200-299,0-99
Chinese Highland Shrew,6+,8.2,3.2,0-49,0-99
Chinese Serow,1,95000,21.0,200-299,100-199
Chinese Shrew,6+,8.2,3.2,0-49,0-99
Chital,1,45500,20.8,200-299,100-199
Cinereus Shrew,6+,5.1,2.5,0-49,0-99
Ciscaucasian Hamster,6+,105,10.0,0-49,0-99
Clouded Leopard,2,19500,19.8,50-99,100-199
Collared Peccary,2,20500,31.5,100-199,0-99
Columbian Ground Squirrel,4,468.635,4.2,0-49,0-99
