"Day","Activity","obs","age","subj_id"
1,0,1,11,"13442"
1,0,2,11,"13442"
1,0,3,11,"13442"
1,0,4,11,"13442"
1,0,5,11,"13442"
1,48,6,11,"13442"
1,0,7,11,"13442"
1,235,8,11,"13442"
1,0,9,11,"13442"
1,0,10,11,"13442"
1,0,11,11,"13442"
1,0,12,11,"13442"
1,0,13,11,"13442"
1,0,14,11,"13442"
1,0,15,11,"13442"
1,0,16,11,"13442"
1,5,17,11,"13442"
1,0,18,11,"13442"
1,0,19,11,"13442"
1,0,20,11,"13442"
1,0,21,11,"13442"
1,0,22,11,"13442"
1,11,23,11,"13442"
1,5,24,11,"13442"
1,0,25,11,"13442"
1,5,26,11,"13442"
1,85,27,11,"13442"
1,0,28,11,"13442"
1,0,29,11,"13442"
1,0,30,11,"13442"
1,368,31,11,"13442"
1,32,32,11,"13442"
1,0,33,11,"13442"
1,0,34,11,"13442"
1,0,35,11,"13442"
1,0,36,11,"13442"
1,0,37,11,"13442"
1,0,38,11,"13442"
1,0,39,11,"13442"
1,0,40,11,"13442"
1,0,41,11,"13442"
1,0,42,11,"13442"
1,0,43,11,"13442"
1,0,44,11,"13442"
1,0,45,11,"13442"
1,0,46,11,"13442"
1,0,47,11,"13442"
1,0,48,11,"13442"
1,0,49,11,"13442"
1,0,50,11,"13442"
1,0,51,11,"13442"
1,0,52,11,"13442"
1,0,53,11,"13442"
1,0,54,11,"13442"
1,0,55,11,"13442"
1,0,56,11,"13442"
1,0,57,11,"13442"
1,0,58,11,"13442"
1,0,59,11,"13442"
1,0,60,11,"13442"
1,0,61,11,"13442"
1,0,62,11,"13442"
1,0,63,11,"13442"
1,0,64,11,"13442"
1,0,65,11,"13442"
1,0,66,11,"13442"
1,0,67,11,"13442"
1,0,68,11,"13442"
1,0,69,11,"13442"
1,0,70,11,"13442"
1,0,71,11,"13442"
1,0,72,11,"13442"
1,0,73,11,"13442"
1,0,74,11,"13442"
1,0,75,11,"13442"
1,0,76,11,"13442"
