"Treatment","X4.Amino.n.butyric.acid..GABA.","Alanine","Arachidonic.acid","Asparagine","Aspartic.acid","beta.Alanine","cis.11.14.Eicosadienoic.acid","cis.11.Eicosenoic.acid","cis.4.7.10.13.16.19.Docosahexaenoic.acid","Creatinine","Dodecanoic..Lauric..acid","Fumaric.acid","gamma.Linolenic.acid","Glutamic.acid","Glutathione","Glycine","Isoleucine","Lactic.acid","Leucine","Linoleic.acid","Malonic.acid","Methionine","Myristic.acid","Nicotinic.acid","Octadecanoic..Stearic..acid","Oleic.acid","Oxalic.acid","Palmitelaidic.acid","Palmitic.acid","Palmitoleic.acid","Pentadecanoic.acid","Phenylalanine","Proline","p.Toluic.acid","Succinic.acid","Valine"
"PS35",4.762848259,624.8266938,4.885760473,9.29585068,225.0571788,4.680497077,3.151469145,8.721850645,12.81974383,2.123001202,0.951955091,5.888724132,0.69768045,161.103496,44.6908807,1064.321436,35.92969815,7.709054009,27.16851559,3.314942389,0.839029495,4.639014205,21.44572295,4.744411427,14.90925145,8.060582938,0.821821785,0.282237169,34.48425052,6.396351572,7.298527217,13.03729845,83.8556283,1.18226185,43.75674788,57.19842751
"PS35",5.932323333,733.3194812,3.262275944,9.193344556,174.9784439,5.291160637,1.660937608,5.195801802,7.547149925,1.445909708,0.852896951,6.662571256,0.367319724,150.5063554,32.88374152,977.5184017,25.65654558,7.647527647,23.02664928,1.715988515,0.376416455,4.029381312,13.86592749,0.954372554,8.931107758,4.578478816,1.756923804,0.192286072,27.091947,3.811843969,5.538340776,11.64005151,97.6273718,0.919083511,111.539724,54.96684022
"PS35",3.048074138,827.3642887,5.045532066,8.171638189,195.0638736,4.379444605,2.320647102,9.141809055,13.12707147,2.106059143,0.698868938,9.563342665,0.797414487,145.6511246,24.95414615,1031.553882,28.41973163,6.804067317,22.83843357,3.948257554,0.389154359,5.291292596,27.18409113,2.958176465,23.41120443,10.60108762,0.935177141,0.303278952,59.56816939,7.241689996,11.44254593,9.400843067,61.91073784,1.046392831,91.66908003,50.86720082
"PS35",7.103789291,622.4281139,9.093212211,13.27903042,241.9789725,5.708139556,4.464043358,10.77161108,18.75644668,1.755306636,0.573273873,12.58007456,0.810359024,193.5542245,48.57856354,1016.992092,39.34963175,8.447413185,32.14744576,3.970928865,0.399948653,21.14525276,23.97712673,4.089683502,14.76855287,9.083033242,1.238723964,0.209375735,36.53571235,8.398780333,7.950905702,15.99455312,103.1287888,0.945513111,123.6495901,61.79765115
"PS35",4.42912803,784.8320129,3.4210277,5.224061771,111.8769318,4.306261176,1.66462382,5.138203006,6.175909807,1.18758956,0.668921199,6.689582075,0.53939289,139.0911998,24.37204675,999.0407503,15.66182305,7.514122287,14.45832001,2.052838668,0.332147594,3.700993889,11.19864758,2.864241009,9.744969861,4.705948532,1.032525669,0.218717803,25.29576864,5.099714594,3.828116673,5.329164742,55.51805403,1.36744887,156.3103232,34.33166353
"N20",4.559222338,292.0126985,8.153485754,12.14124107,433.3694475,7.405434026,2.926161455,7.401262734,18.27025969,0.383845781,0.41956247,1.555891978,0.828870514,86.02872964,19.59951146,693.3911159,22.59171837,3.533084465,14.83867667,3.106222233,0.182667836,3.297319555,17.63066156,3.542122264,7.830210611,7.686996247,0.563819658,0.29642245,25.74521525,6.754017232,5.829380802,7.611217773,30.65621656,0.569120675,2.388759981,30.1556615
"N20",2.685988672,247.4022704,8.1545895,6.633851216,420.0900704,8.047149953,5.03812157,8.851864949,28.48518026,0.19910567,0.685648182,1.844499066,1.059072715,82.38089497,12.2985833,629.2813578,15.81164016,1.972128595,10.09643312,4.57807841,0.361436731,2.400444641,33.00196766,2.985233047,15.37322912,12.97350555,0.33800193,0.45463513,53.80341764,8.502866689,13.76379913,5.52484435,22.98196804,0.552430355,1.599335,23.59920463
"N20",3.383705078,266.9070921,5.419236431,4.654976415,404.9775037,13.7253749,1.48224249,5.775845736,13.49126498,0.206632634,0.404503159,1.886490442,0.648310951,72.54141023,12.22816027,636.7789959,16.63813792,4.509338264,11.2046099,2.507834516,0.176262996,2.408388839,14.36781609,3.069290004,7.398962512,6.313481901,0.337723983,0.263203528,20.48734064,5.317153615,4.650893102,4.943530508,21.19511483,0.619642694,2.922290749,27.26019522
"N20",3.0992396,366.9739434,7.133329071,12.00487088,455.6273467,5.599109737,2.157730068,6.044474546,14.75780812,0.769815154,0.446925668,8.743302046,0.634436739,76.93906011,14.9642576,758.0292199,19.62602009,3.283212727,10.22257918,3.101736973,0.314564911,3.3934093,15.43043385,3.419735771,8.640909763,7.62364659,0.521950908,0.322057029,23.15564027,5.65987914,4.696725711,5.078823744,24.84053442,0.690419512,9.389289134,23.07572434
"N20",6.00064489,250.0005023,3.33431942,13.46535171,381.6706478,7.080484733,1.093023933,3.589839661,8.312883343,0.499425927,0.412002847,2.312238453,0.340275113,75.96045476,17.78471108,603.062928,24.02266961,2.94256357,12.02891359,1.612853811,0.313828454,3.707711714,9.441064853,3.389567039,5.718756466,4.323126252,0.630168164,0.184027938,16.76011885,3.336830675,3.304812168,6.219124114,25.7705034,0.64515722,6.465227148,26.30288955
