,Auckland,Gisborne,Hamilton,Hastings,Napier,Rotorua,Tauranga,Whanganui,Wellington,Whakatane ,Whangarei
Auckland,0,505,126,441,421,235,205,457,658,298,165
Gisborne,505,0,394,235,215,286,298,467,538,201,664
Hamilton,126,394,0,315,295,109,106,331,532,193,294
Hastings,441,235,315,0,20,240,319,235,302,328,606
Napier,421,215,295,20,0,220,299,250,319,308,585
Rotorua,235,286,109,240,220,0,86,301,449,86,401
Tauranga,205,298,106,319,299,86,0,439,546,97,370
Whanganui,457,467,331,235,250,301,439,0,188,388,617
Wellington,658,538,532,302,319,449,546,188,0,535,806
Whakatane ,298,201,193,328,308,86,97,388,535,0,483
Whangarei ,165,664,294,606,585,401,370,617,806,483,0
