Rank,Journal name,ISSN,eISSN,Category,Total Citations,2019 JIF,JIF Quartile,2019 JCI,% of OA Gold,Total Articles,OA fee /APC ($USD),Business model,GOA Waiver for Africa
1,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,ECOLOGY - SCIE,"38,177",14.764,Q1,1.71,13.16%,117,6700,Hybrid,No
2,Annual Review of Ecology Evolution and Systematics,1543-592X,1545-2069,ECOLOGY - SCIE,"20,714",14.041,Q1,n/a,0%,25,5000,Hybrid,No
3,Nature Ecology & Evolution,2397-334X,2397-334X,ECOLOGY - SCIE,"6,173",12.543,Q1,3.26,6%,163,11390,Hybrid,No
4,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,1540-9309,ECOLOGY - SCIE,"11,288",9.295,Q1,1.84,6.13%,33,2900,Hybrid,No
5,ISME Journal,1751-7362,1751-7370,ECOLOGY - SCIE,"26,477",9.18,Q1,2.93,42.38%,248,3300,Hybrid,No
6,ECOLOGY LETTERS,1461-023X,1461-0248,ECOLOGY - SCIE,"34,488",8.665,Q1,2.52,17.29%,180,4800,Hybrid,No
7,GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486,ECOLOGY - SCIE,"45,069",8.555,Q1,2.55,14.32%,305,4250,Hybrid,No
8,ECOLOGICAL MONOGRAPHS,0012-9615,1557-7015,ECOLOGY - SCIE,"11,572",7.722,Q1,2.25,12.20%,49,3300,Hybrid,No
9,Methods in Ecology and Evolution,2041-210X,2041-2096,ECOLOGY - SCIE,"14,303",6.514,Q1,2.14,20.07%,184,3000,Hybrid,No
10,ECOGRAPHY,0906-7590,1600-0587,ECOLOGY - SCIE,"12,570",6.455,Q1,1.86,11.90%,170,2450,Hybrid,No
11,GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,1466-8238,ECOLOGY - SCIE,"12,959",6.446,Q1,2.05,11.90%,142,3650,Hybrid,No
12,Ecosystem Services,2212-0416,2212-0416,ECOLOGY - SCIE,"7,796",6.33,Q1,1.73,13.85%,139,3960,Hybrid,No
13,Molecular Ecology Resources,1755-098X,1755-0998,ECOLOGY - SCIE,"10,868",6.286,Q1,1.83,14.25%,120,4300,Hybrid,No
14,Advances in Ecological Research,0065-2504,2163-582X,ECOLOGY - SCIE,"2,211",6.167,Q1,n/a,0%,15,,Subscription,No
15,JOURNAL OF APPLIED ECOLOGY,0021-8901,1365-2664,ECOLOGY - SCIE,"20,491",5.84,Q1,1.78,16.95%,223,3000,Hybrid,No
16,JOURNAL OF ECOLOGY,0022-0477,1365-2745,ECOLOGY - SCIE,"20,912",5.762,Q1,2.02,7.47%,208,3000,Hybrid,No
17,LANDSCAPE AND URBAN PLANNING,0169-2046,1872-6062,ECOLOGY - SCIE,"18,415",5.441,Q1,2.04,11.40%,225,2340,Hybrid,No
18,CONSERVATION BIOLOGY,0888-8892,1523-1739,ECOLOGY - SCIE,"22,288",5.405,Q1,1.52,22.74%,116,3000,Hybrid,No
19,MOLECULAR ECOLOGY,0962-1083,1365-294X,ECOLOGY - SCIE,"38,953",5.163,Q1,1.47,11.45%,331,4250,Hybrid,No
20,Remote Sensing in Ecology and Conservation,N/A,2056-3485,ECOLOGY - SCIE,440,5,Q1,1.39,100%,20,2420,Open access,Yes
21,BIOLOGICAL CONSERVATION,0006-3207,1873-2917,ECOLOGY - SCIE,"32,257",4.711,Q1,1.32,9.71%,335,3150,Hybrid,No
22,ECOLOGY,0012-9658,1939-9170,ECOLOGY - SCIE,"63,431",4.7,Q1,1.38,7.16%,271,3300,Hybrid,No
23,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,1471-2954,ECOLOGY - SCIE,"55,056",4.638,Q1,1.29,23.13%,548,2380,Hybrid,No
24,Current Opinion in Insect Science,2214-5745,2214-5753,ECOLOGY - SCIE,"2,247",4.565,Q1,1.3,8.77%,117,3250,Hybrid,No
25,JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656,ECOLOGY - SCIE,"16,767",4.554,Q1,2.31,16.79%,129,3000,Hybrid,No
26,ECOLOGICAL ECONOMICS,0921-8009,1873-6106,ECOLOGY - SCIE,"26,706",4.482,Q1,1.66,8.82%,311,3580,Hybrid,No
27,FUNCTIONAL ECOLOGY,0269-8463,1365-2435,ECOLOGY - SCIE,"17,075",4.434,Q1,1.43,10.79%,182,3000,Hybrid,No
28,ECOLOGICAL APPLICATIONS,1051-0761,1939-5582,ECOLOGY - SCIE,"21,637",4.248,Q1,1.26,13.31%,159,3300,Hybrid,No
29,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,ECOLOGY - SCIE,"23,560",4.241,Q1,1.53,8.61%,274,3580,Hybrid,No
30,ECOSYSTEMS,1432-9840,1435-0629,ECOLOGY - SCIE,"9,886",4.207,Q1,1.4,17.75%,127,3860,Hybrid,No
31,DIVERSITY AND DISTRIBUTIONS,1366-9516,1472-4642,ECOLOGY - SCIE,"8,608",3.993,Q1,1.34,39.39%,141,2200,Hybrid,No
32,ECOLOGY AND SOCIETY,1708-3087,N/A,ECOLOGY - SCIE,"11,994",3.89,Q1,1.22,100%,135,1175,Open access,Yes
33,FRESHWATER BIOLOGY,0046-5070,1365-2427,ECOLOGY - SCIE,"15,145",3.835,Q1,1.41,5.95%,169,4300,Hybrid,No
34,AMERICAN NATURALIST,0003-0147,1537-5323,ECOLOGY - SCIE,"29,149",3.744,Q1,1.13,0%,158,4300,Hybrid,No
35,JOURNAL OF BIOGEOGRAPHY,0305-0270,1365-2699,ECOLOGY - SCIE,"15,936",3.723,Q1,1.27,4.64%,181,4200,Hybrid,No
36,EVOLUTION,0014-3820,1558-5646,ECOLOGY - SCIE,"32,141",3.698,Q1,1.04,13.30%,164,3000,Hybrid,No
37,ECOLOGICAL ENGINEERING,0925-8574,1872-6992,ECOLOGY - SCIE,"18,887",3.512,Q1,0.86,2.15%,302,3400,Hybrid,No
