Animal,Treatment,Time,Glucose
Control1,Control,0,1.599
Control1,Control,5,1.279
Control1,Control,10,1.599
Control1,Control,15,1.579
Control1,Control,20,1.279
Control1,Control,25,1.439
Control1,Control,30,1.179
Control2,Control,0,0.84
Control2,Control,5,0.64
Control2,Control,10,0.7
Control2,Control,15,0.78
Control2,Control,20,0.6
Control2,Control,25,0.6
Control2,Control,30,0.34
Control3,Control,0,0.22
Control3,Control,5,0.2
Control3,Control,10,0.1
Control3,Control,15,0.34
Control3,Control,20,0.2
Control3,Control,25,0.16
Control3,Control,30,0.4
Control4,Control,0,0.513
Control4,Control,5,0.532
Control4,Control,10,0.454
Control4,Control,15,0.473
Control4,Control,20,0.473
Control4,Control,25,0.473
Control4,Control,30,0.375
Control5,Control,0,0.592
Control5,Control,5,0.454
Control5,Control,10,0.513
Control5,Control,15,0.454
Control5,Control,20,0.454
Control5,Control,25,0.473
Control5,Control,30,0.414
Control6,Control,0,0.356
Control6,Control,5,0.356
Control6,Control,10,0.396
Control6,Control,15,0.336
Control6,Control,20,0.396
Control6,Control,25,0.475
Control6,Control,30,0.554
Control7,Control,0,0.595
Control7,Control,5,0.615
Control7,Control,10,0.595
Control7,Control,15,0.516
Control7,Control,20,0.397
Control7,Control,25,0.377
Control7,Control,30,0.476
Control8,Control,0,0.48
Control8,Control,5,0.32
Control8,Control,10,0.3
Control8,Control,15,0.32
Control8,Control,20,0.24
Control8,Control,25,0.16
Control8,Control,30,0.3
DCI1,DCI,0,0.705
DCI1,DCI,5,0.463
DCI1,DCI,10,0.604
DCI1,DCI,15,0.524
DCI1,DCI,20,0.262
DCI1,DCI,25,0.161
DCI1,DCI,30,0.443
DCI2,DCI,0,0.467
DCI2,DCI,5,0.365
DCI2,DCI,10,0.588
DCI2,DCI,15,0.446
DCI2,DCI,20,0.467
DCI2,DCI,25,0.528
DCI2,DCI,30,0.426
DCI3,DCI,0,0.689
DCI3,DCI,5,0.67
DCI3,DCI,10,0.709
DCI3,DCI,15,0.729
DCI3,DCI,20,0.63
DCI3,DCI,25,0.65
DCI3,DCI,30,0.315
DCI4,DCI,0,0.686
DCI4,DCI,5,0.471
DCI4,DCI,10,0.429
DCI4,DCI,15,0.386
DCI4,DCI,20,0.407
DCI4,DCI,25,0.364
DCI4,DCI,30,0.429
DCI5,DCI,0,0.423
DCI5,DCI,5,0.403
DCI5,DCI,10,0.262
DCI5,DCI,15,0.221
DCI5,DCI,20,0.242
DCI5,DCI,25,0.141
DCI5,DCI,30,0.302
DCI6,DCI,0,0.411
DCI6,DCI,5,0.473
DCI6,DCI,10,0.534
DCI6,DCI,15,0.514
