flag,P#,Cond,Student,Major,CS3,Male,Age,@#B,@$B,@#ActuallyCorrect,Income,TaxOnIncome,IncomeMinusTax,Deduction1,Deduction2,SumDeduction,FinalPayment,OverReport,CheatedOnMatrixTax,Deductions
0,2,0,1,Business,4,1,21,3,3,3,3,0.6,2.4,1.5,4,5.5,7.9,0,0,5.5
0,3,0,1,Clinical Laboratory Science,4,0,21,12,12,8,12,2.4,9.6,5,6,11,20.6,4,1,11
0,10,0,1,Dramatic Arts & Communication,3,0,20,7,7,3,7,1.4,5.6,4,7,11,16.6,4,1,11
0,13,0,1,Library Science,5,0,26,15,15,12,15,3,12,10,12,22,34,3,1,22
0,15,0,1,Environmental Sciences,5,1,22,17,17,15,17,3.4,13.6,12,12,24,37.6,2,1,24
0,19,0,1,Psychology,3,0,20,8,8,8,8,1.6,6.4,1.5,1.5,3,9.4,0,0,3
0,21,0,1,Psychology,5,1,23,7,7,7,7,1.4,5.6,3,5,8,13.6,0,0,8
0,24,0,1,African American Studies,4,0,23,16,16,1,16,3.2,12.8,8,2.5,10.5,23.3,15,1,10.5
0,29,0,0,,,1,23,4,4,2,13,2.6,10.4,4,5,9,19.4,2,1,9
0,32,0,1,English,4,0,21,15,15,8,15,3,12,6,4,10,22,7,1,10
0,33,0,1,Chemistry,2,1,19,17,17,17,17,3.4,13.6,3,0,3,16.6,0,0,3
0,39,0,1,Business,3,0,20,18,18,15,18,3.6,14.4,4,6,10,24.4,3,1,10
0,41,0,1,Communications,3,0,19,10,10,8,10,2,8,3,5,8,16,2,1,8
0,45,0,1,Business,3,1,20,13,13,13,13,2.6,10.4,2.5,2,4.5,14.9,0,0,4.5
0,47,0,1,Psychology,3,0,20,4,4,2,4,0.8,3.2,3,6,9,12.2,2,1,9
0,50,0,1,Accounting,5,1,28,12,12,12,12,2.4,9.6,3,4,7,16.6,0,0,7
0,53,0,1,Math,4,0,22,10,10,10,10,2,8,4,0,4,12,0,0,4
0,56,0,1,Political Science,3,1,20,16,16,12,16,3.2,12.8,9,4,13,25.8,4,1,13
0,59,0,1,English,4,0,22,6,6,6,6,1.2,4.8,4,0,4,8.8,0,0,4
0,62,0,0,NA,,1,23,11,11,11,11,2.2,8.8,3,5,8,16.8,0,0,8
