"Group","Participant Number","Block","Treatment","Time","Any notes (optional)"
"Kākā",8,"Morning","Treatment B",49.53,NA
"Pīwakawaka",1,"Afternoon","Treatment A",74.54,NA
"Pīwakawaka",2,"Afternoon","Treatment A",30.36,NA
"Pīwakawaka",3,"Morning","Treatment B",32.46,"Teared ends rather than unwrapping"
"Pīwakawaka",4,"Afternoon","Treatment A",39.53,NA
"Pīwakawaka",5,"Morning","Treatment B",25.57,NA
"Pīwakawaka",6,"Morning","Treatment A",18.28,"Had a second trial, may have increased efficiency/reduced time."
"Kiwi",1,"Morning","Treatment B",25,NA
"Kiwi",2,"Morning","Treatment B",36.5,NA
"Kiwi",3,"Afternoon","Treatment A",40,NA
"Kiwi",4,"Afternoon","Treatment A",32,NA
"Kiwi",5,"Afternoon","Treatment A",44.6,NA
"Kiwi",6,"Afternoon","Treatment A",28,NA
"Kiwi",7,"Afternoon","Treatment B",26,NA
"Kiwi",8,"Morning","Treatment B",39.7,NA
"Kiwi",1,"Afternoon","Treatment A",31.78,NA
"Kiwi",2,"Afternoon","Treatment A",65,NA
"Kiwi",3,"Morning","Treatment B",42.35,NA
"Kiwi",4,"Morning","Treatment A",36.36,NA
"Kiwi",5,"Afternoon","Treatment B",29.13,NA
"Korimako",1,"Afternoon","Treatment A",40.32,NA
"Korimako",2,"Afternoon","Treatment B",41.93,"miscommunication"
"Korimako",3,"Afternoon","Treatment A",26.28,NA
"Korimako",4,"Morning","Treatment B",29.9,NA
"Korimako",5,"Morning","Treatment A",28.47,NA
"Korimako",6,"Morning","Treatment B",25.37,NA
"Ruru",3,"Afternoon","Treatment B",49.83,NA
"Ruru",4,"Morning","Treatment A",53.81,"table placement was far away"
"Ruru",5,"Morning","Treatment B",35.67,NA
"Ruru",6,"Afternoon","Treatment B",28.97,NA
"Korimako",1,"Afternoon","Treatment A",37.39,NA
"Korimako",2,"Morning","Treatment B",51.09,NA
"Korimako",3,"Morning","Treatment B",32.88,NA
"Korimako",4,"Afternoon","Treatment B",47.34,NA
"Korimako",5,"Afternoon","Treatment B",45.71,NA
"Korimako",6,"Morning","Treatment B",39.11,NA
NA,8,"Afternoon","Treatment B",44.67,NA
"Tūī",1,"Morning","Treatment B",63.89,"was the first participant with other watching how experiment works"
"Tūī",2,"Morning","Treatment B",37.62,NA
"Tūī",3,"Afternoon","Treatment B",33.13,NA
"Tūī",4,"Afternoon","Treatment A",29.6,NA
"Tūī",5,"Afternoon","Treatment A",46.15,"took lollies out one by one"
"Kea",2,"Afternoon","Treatment A",24.75,NA
"Kea",4,"Morning","Treatment A",29.75,NA
"Kea",7,"Afternoon","Treatment A",47.86,NA
"Takahē",1,"Morning","Treatment A",45.31,NA
"Takahē",2,"Morning","Treatment B",29.95,NA
"Takahē",3,"Afternoon","Treatment A",49.4,NA
"Takahē",4,"Afternoon","Treatment A",44.42,NA
"Takahē",5,"Afternoon","Treatment B",43.76,NA
"Takahē",6,"Afternoon","Treatment B",33.25,NA
"Hoiho",1,"Morning","Treatment A",47,NA
"Kiwi",1,"Afternoon","Treatment B",28.49,NA
"Kiwi",2,"Morning","Treatment A",26.81,NA
"Kiwi",3,"Afternoon","Treatment B",31.2,NA
"Kiwi",4,"Morning","Treatment A",32.02,NA
"Kiwi",5,"Afternoon","Treatment A",32.02,NA
"Kiwi",6,"Morning","Treatment B",27.66,NA
"Kiwi",7,"Afternoon","Treatment A",33.66,NA
"Kiwi",8,"Morning","Treatment A",33.21,NA
"Kākā",3,"Afternoon","Treatment B",33,NA
