Opponent,Catches,Yards,TDs,Swift,Date
vs. Bears,7,69,1,Yes,24/09/23
at Jets,6,60,0,Yes,01/10/23
vs. Broncos,9,124,0,Yes,12/10/23
vs. Chargers,12,179,1,Yes,22/10/23
at Packers,4,81,0,Yes,03/12/23
vs. Bills,6,83,0,Yes,10/12/23
at Patriots,5,28,0,Yes,17/12/23
vs. Raiders,5,44,0,Yes,25/12/23
vs. Bengals,3,16,0,Yes,31/12/23
vs. Dolphins,7,71,0,Yes,13/01/24
at Bills,5,75,2,Yes,21/01/24
at Ravens,11,116,1,Yes,28/01/24
at Jaguars,4,26,1,No,17/09/23
at Vikings,10,67,1,No,08/10/23
at Broncos,6,58,0,No,29/10/13
Dolphins (Frankfurt),3,14,0,No,05/11/23
vs. Eagles,7,44,1,No,20/11/23
at Raiders,6,91,0,No,26/11/12
