"id","pet_name","latin_name","city","colour","participant_age","participant_gender","participant_siblings","head_height","head_lateral","head_front","snout_length","snout_height","snout_width","ear_length","nose_width","nose_height","eye_diameter","head_body_length","chest_length","chest_height","front_leg_length","hind_leg_length","manipulate","fur_thickness","fur_sofness","touch","smell","smiling","posture","stranger_comfort","owner_comfort"
"1001","Citronelle","Nunursus citronellus","paris","7",29,"1",0,6.05,8.35,5.99,0.6,2.07,2.48,1.42,1.01,0.6,0.94,13.92,9.85,7.2,5.94,5.35,2,2,6,1,1,"0","2",0.125,0.75
"1002","Chonchon","Nunursus ronchonus","paris","9",34,"1",2,11.94,13.49,10.99,5.72,5.21,5.84,2.63,1.6,1.27,1.6,24.43,12.19,9.17,9.7,10.48,5,3,4,4,3,"0","2",0.875,NA
"1003","Nenuphar","Nunursus amandus","paris","15",60,"2",0,10.96,12.97,7.27,4.34,5.34,7.08,2.38,2.79,1.82,0.42,27.02,12.57,8.21,10.42,11.89,4,2,2,3,3,"1","1",0.375,NA
"1004","Tinounousse","Nunursus tinus","paris","8",69,"1",2,8.23,10.6,5.97,3.43,5.03,5.65,1.75,0.97,0.91,0.74,18.92,7.57,6.61,6.26,6.88,4,4,3,4,3,"1","2",0.6875,NA
"1005","Noeuneuille","Nunursus noeuneuillus","paris","8",66,"2",4,14.75,16.03,8.85,7.33,6.25,7.57,2.51,1.67,0.98,1.37,29.85,12,9.34,12.01,10.1,4,4,4,4,2,"1","2",0.75,NA
"1006","patate","Nunursus patus","paris","9",31,"1",3,10.94,14.28,9.68,5.05,6.72,6.74,2.79,2.69,1.57,1.21,25.22,10.58,8.12,8.07,9.21,4,3,4,4,3,"1","1",0.75,NA
"1008","Roudoudou","Nunursus mollis","paris","9",10,"1",1,16.71,19.21,16.09,4.18,6.85,9.86,2.76,1.11,0.81,1.48,37.76,18.65,19.1,15.85,13.66,4,3,4,5,5,"0","2",0.625,NA
"1010","Nounours","Nunursus calinus","dijon","7",5,"2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,5,"1","1",NA,0.5
"1012","Cookie","Nunursus cookinus","dijon","7",5,"1",1,8.89,8.76,7.35,2.21,3.48,4.42,2.12,1.36,1.11,0.65,20.62,11.01,7.68,6.03,7.51,5,3,5,5,4,"1","2",0.625,0.75
"1013","Poileau","Nunursus poilus","dijon","8",10,"2",1,17.99,22.59,12.9,8.51,9.07,12.75,4.4,7.3,4.46,1.07,41.4,17.14,12.11,20.72,16.52,4,4,3,3,3,"0","2",0.375,0.625
"1017","Hubert","Nunursus huberus","dijon","7",21,"1",1,10.52,12.44,9.27,4.85,5.51,6.49,2.52,2.53,1.69,0.85,27.03,13.73,11.8,12.96,13.19,4,4,3,4,4,"1","2",0.5,NA
"1019","Choupinou","Nunursus choupinus","dijon","15",38,"1",1,13.77,14.9,8.56,4.46,6.4,8.41,1.49,3.73,2.16,1.14,27.39,12.72,9.48,9.62,10.21,5,3,5,5,4,"1","1",0.75,NA
"1021","Gregoire","Nunursus gregoirus","dijon","12",10,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,5,2,"1","1",NA,0.5
"1022","Bob","Nunursus bobus","dijon","7",10,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,2,"1","3",NA,0.875
"1025","Toutdoux","Nunursus toutdouxus","dijon","8",48,"2",3,8.3,9.81,5.21,3.24,4.76,5.15,1.25,1.74,1.13,0.9,16.61,7.18,7.27,4.77,8.76,4,2,3,4,1,"1","2",0.125,0.75
"1026","felix","Nunursus felixus","dijon","5",13,"1",2,9.67,10.48,9.82,3.56,5.4,4.6,2.85,1.36,1.14,0.33,21.13,9.7,8.12,8.47,8.94,5,3,7,4,5,"0","1",1,0.875
"1027","Timmy","Nunursus timinus","dijon","7",9,"1",3,11.43,13.21,11.26,3.53,5.52,6.68,4.01,1.26,1.13,1.11,27.79,12.51,11.55,12.92,14.18,4,5,4,3,5,"0","2",NA,1
"1034","Winnie","Nunursus verbagettus","dijon","9",5,"2",1,22.06,26.41,22.84,13.57,12.73,15.23,5.57,6.66,5.61,1.95,51.98,26.59,26.22,22.08,24.89,2,3,5,5,2,"1","2",0.59375,NA
"1036","Newspaper","Nunursus editorius","dijon","9",35,"1",0,23.25,28.93,19.41,10.44,9.2,10.95,6.47,4.08,2.81,2.24,44.32,26.13,24.45,14.98,19.72,5,3,5,4,4,"1","2",1,NA
